[15:40:49.472] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.002], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:44:01.584] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[30000181]
[15:53:11.694] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.004], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:53:11.929] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[30000181]
[15:53:11.944] : [CorpCard2DB] Data truncation: Data too long for column 'insert_time' at row 1
[15:56:14.753] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.005], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:56:15.034] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[30000181]
[15:56:15.034] : curr tm=[java.text.SimpleDateFormat@129110e0]
[15:56:15.049] : [CorpCard2DB] Data truncation: Data too long for column 'insert_time' at row 1
[16:04:52.642] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.006], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:04:52.938] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[30000181]
[16:04:52.938] : curr tm=[2017/12/07 16:04:52]
[16:04:52.938] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[274], ApprNo=[72197497]
[16:04:52.938] : curr tm=[2017/12/07 16:04:52]
[16:04:52.954] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[275], ApprNo=[71922078]
[16:04:52.954] : curr tm=[2017/12/07 16:04:52]
[16:04:52.954] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[276], ApprNo=[79972749]
[16:04:52.954] : curr tm=[2017/12/07 16:04:52]
[16:04:52.954] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[277], ApprNo=[77407372]
[16:04:52.954] : curr tm=[2017/12/07 16:04:52]
[16:04:52.970] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[278], ApprNo=[75706310]
[16:04:52.970] : curr tm=[2017/12/07 16:04:52]
[16:04:52.970] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[279], ApprNo=[39774746]
[16:04:52.970] : curr tm=[2017/12/07 16:04:52]
[16:04:52.970] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[280], ApprNo=[55876429]
